nodo_eliminado,Ng/N,eficiencia_global
160,0.9989858012170385,0.4150170945292129
121,0.9959432048681541,0.4117335272953088
82,0.9939148073022313,0.40889466306074435
107,0.9898580121703854,0.40503861407728514
86,0.9888438133874239,0.40210965604221977
62,0.9878296146044625,0.3998643469262008
434,0.986815415821501,0.39822354147053024
13,0.9858012170385395,0.3958919139132649
166,0.9837728194726166,0.3932732217664634
183,0.9827586206896551,0.39174584869580453
5,0.9787018255578094,0.3872241695534412
64,0.9776876267748479,0.384904108324069
249,0.9766734279918864,0.38347976823974045
129,0.9746450304259635,0.38129074629811005
533,0.973630831643002,0.3789876398639556
211,0.9695740365111561,0.3753235507381529
128,0.9685598377281948,0.3739762279827327
105,0.9675456389452333,0.3726996417312728
114,0.9665314401622718,0.37138760142419946
283,0.9655172413793104,0.369954166156229
106,0.9645030425963489,0.3684774515425543
142,0.9634888438133874,0.3671438573662775
83,0.962474645030426,0.36573173571739387
420,0.9614604462474645,0.3641038008046643
87,0.9594320486815415,0.3621174470123971
377,0.9543610547667343,0.3577739991485572
282,0.9533468559837728,0.3563179460464712
21,0.9513184584178499,0.3542611989647298
333,0.949290060851927,0.3518770252708616
424,0.9482758620689655,0.3504379269639966
84,0.9462474645030426,0.34740027290372016
115,0.9452332657200812,0.3461107474664335
301,0.9442190669371197,0.34392261788245954
820,0.9432048681541582,0.34234359103285344
256,0.9421906693711968,0.3410259563297952
58,0.9411764705882353,0.33985459963734227
63,0.9401622718052738,0.3386438419227846
405,0.9371196754563894,0.3360162948424343
280,0.936105476673428,0.3348666636264426
252,0.9350912778904665,0.33358465458621817
212,0.934077079107505,0.33241806857499595
96,0.9310344827586207,0.3296035578592065
169,0.9300202839756593,0.32849627930980846
165,0.9290060851926978,0.3273043297486566
494,0.9279918864097363,0.3256595430050302
6,0.9259634888438134,0.3229117678930033
81,0.9249492900608519,0.32174789327616227
17,0.9239350912778904,0.3205545708570904
473,0.922920892494929,0.3190212944974278
133,0.9219066937119675,0.3176999873994601
340,0.920892494929006,0.316363544542988
44,0.9198782961460447,0.3151438975734455
411,0.9168356997971603,0.3120731576374766
366,0.9148073022312373,0.30993936871149097
28,0.9137931034482759,0.3088134192944646
303,0.9127789046653144,0.3075611522402977
419,0.9117647058823529,0.306197183582694
546,0.9107505070993914,0.30429244129025834
932,0.9087221095334685,0.3024980816770358
170,0.9066937119675457,0.30075379705619015
329,0.9056795131845842,0.29960354805413036
971,0.9016227180527383,0.2953080129314103
4,0.9006085192697769,0.2943298859901409
2,0.8985801217038539,0.2927060598449957
74,0.8975659229208925,0.2915894115403133
365,0.896551724137931,0.2901769123554875
215,0.8945233265720081,0.28840494993851795
172,0.8935091277890467,0.2873696434651994
232,0.8924949290060852,0.28604830204577103
41,0.8904665314401623,0.2845530538502551
65,0.8864097363083164,0.28126135243319617
285,0.8843813387423936,0.2794785934693362
498,0.8833671399594321,0.27810916770152316
493,0.8823529411764706,0.27703991731629435
371,0.8813387423935092,0.2760531413701613
113,0.8793103448275862,0.27461126302600697
93,0.8772819472616633,0.2729386759096241
