nodo_eliminado,Ng/N,eficiencia_global
60,0.984375,0.43730158730157676
4,0.96875,0.42126322751321865
24,0.953125,0.40324074074073335
10,0.9375,0.38840939153438536
14,0.921875,0.37247850529100124
17,0.890625,0.34327050264550196
20,0.875,0.32884424603174617
62,0.859375,0.31924603174603283
59,0.84375,0.3099289021164037
11,0.828125,0.2972470238095269
52,0.8125,0.28709490740741106
42,0.796875,0.2783234126984167
29,0.765625,0.25609292328042826
35,0.734375,0.23842592592593032
21,0.71875,0.22464451058201432
1,0.703125,0.2154761904761936
12,0.6875,0.20490244708994984
27,0.671875,0.19419642857143063
50,0.65625,0.185987103174605
5,0.625,0.1673859126984135
8,0.609375,0.1587384259259263
39,0.59375,0.15088458994708998
40,0.578125,0.14243551587301567
58,0.5625,0.13390376984126923
33,0.546875,0.12701719576719486
37,0.53125,0.12099867724867638
54,0.515625,0.11521164021163946
46,0.5,0.11005291005290935
7,0.484375,0.10276951058200992
45,0.453125,0.09193357898715002
32,0.4375,0.08679138321995428
19,0.421875,0.08007842025699137
51,0.40625,0.07554799697656818
34,0.390625,0.07069515306122433
61,0.375,0.06678476946334085
44,0.359375,0.06408730158730169
30,0.34375,0.061144179894180035
23,0.28125,0.04646164021164031
36,0.265625,0.04257605820105829
16,0.234375,0.0348048941798942
38,0.234375,0.0348048941798942
49,0.234375,0.03406084656084657
47,0.234375,0.03406084656084657
55,0.21875,0.03096064814814812
41,0.21875,0.03096064814814812
56,0.203125,0.028356481481481465
15,0.1875,0.023726851851851843
28,0.171875,0.019841269841269833
53,0.171875,0.019841269841269833
63,0.171875,0.019841269841269833
13,0.15625,0.01645171957671957
22,0.125,0.011656746031746032
2,0.109375,0.008432539682539682
26,0.09375,0.006200396825396825
25,0.078125,0.004216269841269841
3,0.0625,0.002976190476190476
43,0.0625,0.00248015873015873
9,0.046875,0.001240079365079365
48,0.046875,0.001240079365079365
6,0.03125,0.000496031746031746
0,0.0,0.0
57,0.0,0.0
18,0.0,0.0
31,0.0,0.0
