nodo_eliminado,Ng/N,eficiencia_global
160,0.9989858012170385,0.4150170945292129
86,0.9979716024340771,0.41220568745288905
5,0.9939148073022313,0.407885440887743
82,0.9918864097363083,0.4051815972288762
121,0.9888438133874239,0.4016783040860798
107,0.9847870182555781,0.39776009896066966
13,0.9837728194726166,0.3954611454217101
377,0.9787018255578094,0.3911221593461011
62,0.9776876267748479,0.38879327750463066
64,0.9766734279918864,0.3865477281384507
211,0.9726166328600405,0.38290220691590277
533,0.9716024340770791,0.38076006807199475
84,0.9695740365111561,0.37807256142230755
166,0.9675456389452333,0.37531116069548204
971,0.9645030425963489,0.37205982130110604
434,0.9634888438133874,0.3702461730342441
411,0.960446247464503,0.36743342742149604
129,0.9584178498985801,0.36528473318105475
65,0.9553752535496958,0.36265698017202636
6,0.9533468559837728,0.3601732399580461
183,0.9523326572008114,0.35848229086710215
333,0.9503042596348884,0.3562084606279491
301,0.949290060851927,0.3541799600977704
96,0.9462474645030426,0.3513781630268718
21,0.9442190669371197,0.3494087640298255
820,0.9432048681541582,0.3479504800336218
44,0.9421906693711968,0.34653221484557795
249,0.9411764705882353,0.3450284549310279
106,0.9401622718052738,0.3434268445687505
128,0.9391480730223124,0.3419586073526898
420,0.9381338742393509,0.3401833991073877
114,0.9371196754563894,0.3386820073727443
405,0.934077079107505,0.33607072865866444
546,0.9330628803245437,0.3343286504166302
191,0.9290060851926978,0.3316463949484583
340,0.9279918864097363,0.33023952448109667
87,0.9259634888438134,0.3282265715667661
115,0.9249492900608519,0.3269114080079542
283,0.922920892494929,0.32484649242163555
295,0.920892494929006,0.3230383355864184
498,0.9198782961460447,0.32169108147390135
63,0.9188640973630832,0.32049542519636964
232,0.9178498985801217,0.3191810510308622
282,0.9168356997971603,0.3178186954813041
83,0.9158215010141988,0.3163152101383334
58,0.9148073022312373,0.31513403751178104
269,0.9127789046653144,0.3135500683736741
290,0.9107505070993914,0.31170010311193763
209,0.90973630831643,0.3105716482292466
280,0.9087221095334685,0.3093730746286554
2,0.9066937119675457,0.3078036577844165
414,0.9026369168356998,0.30591080051901237
424,0.9016227180527383,0.3044369689069466
494,0.9006085192697769,0.3027896766976376
285,0.8985801217038539,0.3011057635034901
142,0.8975659229208925,0.2995607148872315
105,0.896551724137931,0.2981169537665086
231,0.8945233265720081,0.2965346663793223
215,0.8924949290060852,0.2948256151761961
462,0.8884381338742393,0.2925278285664457
560,0.8853955375253549,0.29047447930803133
137,0.8823529411764706,0.2885112924930231
495,0.8793103448275862,0.2864638808450676
393,0.8772819472616633,0.2849548697489944
81,0.8762677484787018,0.2838205802201501
170,0.8742393509127789,0.2821892131625989
258,0.8711967545638946,0.28013996776872685
412,0.8681541582150102,0.278260902822309
133,0.8671399594320487,0.276898341344044
252,0.8661257606490872,0.27545303085509704
141,0.8651115618661258,0.27439352776105164
4,0.8640973630831643,0.2732238920440243
165,0.8620689655172413,0.2715901568065807
366,0.8600405679513184,0.26956493642613755
506,0.8580121703853956,0.2682881785673712
493,0.8569979716024341,0.26718989223724704
256,0.8559837728194726,0.2658703698544924
17,0.8549695740365112,0.26467351232623454
157,0.8529411764705882,0.2631415058600513
401,0.8519269776876268,0.26232378265662837
303,0.8498985801217038,0.26054902549311193
180,0.8488843813387424,0.2594218797284305
28,0.847870182555781,0.25836989303140157
473,0.8468559837728195,0.2568486193722598
189,0.8438133874239351,0.254965298566232
409,0.8427991886409736,0.2532037159355918
184,0.8417849898580122,0.25231058851132
443,0.8407707910750507,0.25161756983701267
12,0.8387423935091278,0.2502787097699418
306,0.8367139959432048,0.24897229818025562
329,0.8356997971602435,0.2479446453897281
419,0.834685598377282,0.24662937886649888
440,0.8336713995943205,0.24525284855891766
74,0.8326572008113591,0.24421181040374743
404,0.8316430020283976,0.24312766451012377
321,0.8296146044624746,0.2417760368644727
353,0.8275862068965517,0.24051882752176584
549,0.8265720081135902,0.2390126847180446
365,0.8255578093306288,0.23787158483329507
509,0.8235294117647058,0.23658295665664647
173,0.8225152129817445,0.23544454365095865
376,0.8204868154158215,0.23426810738415538
169,0.8194726166328601,0.23310965555600205
11,0.8184584178498986,0.23186200228497764
20,0.8174442190669371,0.23092425697854035
543,0.8154158215010142,0.22966263487825492
14,0.8144016227180527,0.2285802736999105
375,0.8133874239350912,0.22765421239492623
113,0.8113590263691683,0.22630016263566954
19,0.8103448275862069,0.22546519045318636
155,0.8093306288032455,0.22410382532248205
93,0.8073022312373225,0.22251148175103255
61,0.8062880324543611,0.22151667458607335
41,0.8042596348884381,0.22011042190468721
342,0.8032454361054767,0.21910960358329945
417,0.8002028397565923,0.2175395689529304
271,0.7981744421906694,0.21617812537319978
238,0.7961460446247465,0.21482550730862343
177,0.795131845841785,0.21401311863880756
263,0.7931034482758621,0.21282287044078702
