nodo,intermediacion
160,0.09082135184037173
86,0.03926117977217441
5,0.03220257241481287
82,0.028967274247816477
121,0.028926544195500805
107,0.025288872159340323
13,0.024483334651438062
377,0.024077739867942656
62,0.023387070516104624
64,0.022778106505897074
211,0.019997435619366257
533,0.019598039989646644
84,0.01929261573486897
166,0.01832679303089265
971,0.01734839019815566
434,0.016013354344399617
411,0.01490375455418449
129,0.014155912747933697
65,0.012959351781963736
6,0.012869357905991632
183,0.012788602032435103
333,0.012730730986403102
301,0.012556247771791389
96,0.012506308368290442
21,0.012048653737220064
820,0.011552490478744107
44,0.011421921455696432
249,0.010575412243574092
106,0.010468819071014983
128,0.010117607414884766
420,0.010023282404801446
114,0.009924477360231033
405,0.009869847808975506
546,0.009396746606024811
191,0.009049726109243632
340,0.008977603964840587
87,0.00868823256890741
115,0.008577439752395118
283,0.008398403479378385
295,0.00835799430684385
498,0.00823871246947853
63,0.00787869901148672
232,0.007684746860017468
282,0.007467611367106021
83,0.007288333878263581
58,0.007187827002740424
269,0.007013977417196514
290,0.006997479899803125
209,0.006972932059399024
280,0.006840304082015717
2,0.006825746753626339
414,0.00672883598610377
424,0.0066953930020400895
494,0.006674485546916322
285,0.0065077441682687975
142,0.006374192608696804
105,0.006341305599735756
231,0.006305668039640254
215,0.006259043631898836
462,0.006255588856683148
560,0.006246746400720914
137,0.006236949131220337
495,0.006152248593158807
393,0.006109785058491208
81,0.006012555836514584
170,0.0060067763384833404
258,0.005943176905975217
412,0.005910679863652629
133,0.005879521991323864
252,0.005804200466736517
141,0.005777469991021044
4,0.005763663577430556
165,0.005715804254195155
366,0.005487051508059896
506,0.0054654111453538755
493,0.005448929597412442
256,0.00543909746344405
17,0.005424143538061997
157,0.005391945355933648
401,0.005377688439777287
303,0.00534657675226634
180,0.005332712251803567
28,0.005320400927118228
473,0.0053136370805178905
189,0.00517240119800756
409,0.005101379911586837
184,0.005022351162495435
443,0.005008592622083855
12,0.004898807922727677
306,0.0048847629740160275
329,0.004737824073695529
419,0.004730588569160933
440,0.004644837578308123
74,0.004572478160241251
404,0.004549189709528527
321,0.004514224881480346
353,0.004440965462792547
549,0.004412491626286567
365,0.0043311205920180795
509,0.004325283971332796
173,0.004271750268417668
376,0.004189133510580165
169,0.00418202062643171
11,0.0040999121485665296
20,0.0040416042716934315
543,0.00400130229355598
14,0.0038711060917583848
375,0.0038161434162713565
113,0.0037804114575532973
19,0.0037741419881147952
155,0.003723536640125094
93,0.0037146693823729227
61,0.0035972411377011744
41,0.003568448454021033
342,0.0035553732926251807
417,0.0035444203215426076
271,0.003528200640151368
238,0.0034593717421072473
177,0.003453009292025566
263,0.0034038050087955908
23,0.0033826750401592274
327,0.00336819173621721
168,0.00335988819113601
300,0.0033349641832144264
69,0.0033281563615763067
212,0.0032650508634799887
89,0.003240624614748012
466,0.003239034043285082
27,0.0032383669235716366
145,0.003232419103165806
57,0.0032229691022866067
18,0.003195609925680649
172,0.0030633466186385846
242,0.003019605287426832
748,0.0029936281344565725
408,0.0029704701654447115
52,0.0029393225193858094
38,0.0029323575069192475
459,0.0029298303805056023
7,0.002927483314788171
206,0.0029220617337861942
438,0.002902769060689211
255,0.0028486565094634434
381,0.002816545518202349
367,0.002802327646249925
856,0.0027968335587549957
544,0.002734251811891007
380,0.0027182221013880127
936,0.002690060013780508
474,0.0026670697027168727
163,0.0026571585466484797
325,0.0026500197485151275
452,0.002625822173058204
230,0.002615400174381557
92,0.0025486528624162454
932,0.002540321014913287
851,0.0025390241735716588
516,0.0025298004305839526
537,0.0025290079030953327
526,0.002522992357313593
210,0.00252187735046104
222,0.0025082769130160176
88,0.002493615127601674
350,0.0024915992441326383
179,0.002462792982424725
55,0.00245255364386885
421,0.002449473714328866
564,0.002424504325822829
371,0.002405501415016386
521,0.002394816794075728
777,0.002358999166144439
326,0.0023460779027288754
577,0.002339551831011649
450,0.002327225828764494
812,0.002322166389741794
859,0.002313222134974473
15,0.002302959986590528
51,0.0022837110058480815
379,0.0022588176555170887
430,0.00225816844077594
218,0.0022433141953673566
116,0.002241715597706897
611,0.0022297387963366405
425,0.0021963098070596687
316,0.0021905094808345638
641,0.0021598044381377123
162,0.0021028216620364976
605,0.0020821263411662794
486,0.0020784147817329486
370,0.002068887463355238
234,0.0020670696748683786
80,0.0020547674883542445
717,0.00205338255664814
72,0.0020346514823378226
712,0.002031799872261159
635,0.0020307986397737356
181,0.0020021322392284294
320,0.0019681546511793276
46,0.0019665239011496904
45,0.0019390352922482288
174,0.0019376220558952391
95,0.0019261676672334182
272,0.0019179514624007043
164,0.0019091247702678715
441,0.0019088328986796826
124,0.0019036759110926391
362,0.0018872183807269486
615,0.001871011547427387
243,0.0018062676743108136
233,0.0017981583882991073
30,0.0017595019332088155
3,0.0017180131923432128
296,0.0016738492876641753
322,0.0016640470632486716
167,0.0016630797880309777
100,0.0016607454671370785
513,0.001659447820682541
373,0.001648240632793855
338,0.0016353587432175892
140,0.001605369849152551
130,0.0016032283622686926
358,0.0016016125087287027
24,0.0015894831695599007
199,0.0015772899608096638
278,0.0015517819525968663
16,0.0015482670431785047
397,0.001537807416752982
351,0.001520076825848721
226,0.0014795149749970557
29,0.0014740260742597065
35,0.001469697380679265
131,0.0014640038875410315
426,0.0014475918255661892
448,0.0014406726279476807
520,0.0014373511431470115
612,0.0014330220058077527
499,0.001426415387123629
305,0.0013981873659677847
483,0.0013916429996881203
482,0.0013829756511278704
254,0.0013756263199109398
504,0.0013563860486420288
314,0.0013544641172282335
214,0.0013358675824412794
198,0.0013345228404999124
40,0.0013192370590281097
518,0.0013178928138028395
661,0.0013146635817200484
221,0.0013116793795650572
435,0.0013103019581564483
368,0.0013026792560490899
389,0.0013001978065911085
158,0.0012918453547705623
48,0.001288015085894391
108,0.0012866387313840426
284,0.00128242341632634
481,0.0012498566855547956
102,0.0012466097178557686
464,0.0012455367209153808
1,0.0012416610632686278
262,0.001216854679053088
275,0.001215971575264394
455,0.0011994819748518597
152,0.0011961398433700493
139,0.0011797432058221816
318,0.0011775725622445
422,0.001173715329825584
0,0.001167511079606912
950,0.0011527496546866682
261,0.0011438687014012803
809,0.0011379068751567957
10,0.0011263809999723792
797,0.0011254699249051375
458,0.0011149599535669736
161,0.0011098658184604281
42,0.0011065556317122005
132,0.001096645900803212
460,0.0010955947030465874
103,0.00107043513922054
159,0.001064079959991982
213,0.0010497851132373012
523,0.001048672078135311
697,0.0010295495124231554
66,0.0010225525295997652
592,0.0010131306266976873
223,0.0010117375758042992
478,0.0010041144560878517
85,0.0010014062743931226
515,0.0009879802045408051
323,0.0009846595902031606
707,0.0009482906727823597
208,0.0009474714287426541
201,0.0009454813800896264
281,0.0009386037820131448
134,0.000911295916073113
427,0.0009084509823778367
288,0.0008943510165867719
153,0.000886141015030604
387,0.0008809991682707176
308,0.0008733869724206734
525,0.0008657032514746833
339,0.0008650624722009882
531,0.0008485074703395142
47,0.0008481830858347706
593,0.000842036529079339
813,0.000838345648092158
415,0.0008348526934553923
681,0.0008294678393481386
182,0.0008244037301016584
963,0.0008189538302535913
245,0.000805618045647661
156,0.0007906768785083391
335,0.0007870462920419981
264,0.0007868467541123711
572,0.0007821196456561051
125,0.000773658549205518
363,0.00077198582230856
178,0.0007620692826209122
53,0.0007611782053263061
390,0.0007505674248828482
309,0.0007497457588873235
654,0.0007377553188007484
91,0.0007360234239141986
176,0.0007358860423693001
236,0.0007286399818008735
511,0.000723626307622673
143,0.0007172445339521422
601,0.0007064834789369512
569,0.0006946716086474242
489,0.0006927601365999667
292,0.0006849792646183159
60,0.0006843209100661533
332,0.0006814618661637955
94,0.000674051198306455
127,0.0006740467757065955
747,0.0006739712480812035
311,0.0006629570728030901
79,0.0006594046443987719
360,0.0006518256530407429
480,0.0006436166439931299
621,0.0006434661935382993
400,0.0006428538154718715
59,0.0006398339296142447
203,0.0006276146888463014
194,0.000626626505182751
312,0.0006239252778343799
268,0.0006210006784523934
253,0.0006001504282837019
395,0.0005938542618268374
423,0.0005812684796886825
8,0.0005785287036650848
529,0.0005776094482689213
171,0.0005764765056193984
336,0.0005703466178065024
355,0.0005660444998589815
562,0.0005654472175276692
149,0.0005595115200216754
548,0.0005566837429974239
361,0.000556057918511781
304,0.0005517054215151639
695,0.0005506769956149297
229,0.0005485848361272729
101,0.0005453851471859417
913,0.0005451324867873759
200,0.0005339860162594178
123,0.0005336783576988436
453,0.000532727657710612
922,0.0005313962655332506
706,0.0005303490099689917
197,0.00052896488455836
349,0.0005245336604300134
150,0.0005244410287703102
146,0.000522631903523278
154,0.000518805004693014
54,0.0005024527202859596
259,0.0004998279108203357
517,0.0004993435777920643
147,0.0004954773719489774
