nodo,grado
0,0.4603174603174603
2,0.42857142857142855
6,0.3492063492063492
9,0.2857142857142857
24,0.2698412698412698
15,0.25396825396825395
17,0.25396825396825395
16,0.23809523809523808
21,0.2222222222222222
29,0.20634920634920634
20,0.19047619047619047
22,0.19047619047619047
19,0.1746031746031746
13,0.1746031746031746
14,0.1746031746031746
23,0.1746031746031746
48,0.1746031746031746
3,0.15873015873015872
25,0.15873015873015872
28,0.15873015873015872
4,0.15873015873015872
12,0.15873015873015872
11,0.15873015873015872
10,0.15873015873015872
27,0.12698412698412698
18,0.12698412698412698
45,0.12698412698412698
5,0.1111111111111111
49,0.09523809523809523
35,0.09523809523809523
7,0.09523809523809523
30,0.09523809523809523
50,0.09523809523809523
51,0.09523809523809523
52,0.09523809523809523
40,0.07936507936507936
46,0.07936507936507936
58,0.07936507936507936
43,0.07936507936507936
39,0.07936507936507936
55,0.06349206349206349
54,0.06349206349206349
8,0.06349206349206349
26,0.06349206349206349
56,0.06349206349206349
44,0.047619047619047616
57,0.047619047619047616
1,0.031746031746031744
31,0.031746031746031744
33,0.031746031746031744
62,0.031746031746031744
63,0.031746031746031744
60,0.031746031746031744
36,0.031746031746031744
38,0.031746031746031744
32,0.031746031746031744
53,0.015873015873015872
42,0.015873015873015872
41,0.015873015873015872
37,0.015873015873015872
34,0.015873015873015872
59,0.015873015873015872
47,0.015873015873015872
61,0.015873015873015872
